"date added"    russian         english                     notes       example
5/13/2021       взлом           theft
5/13/2021       заявлять        "to state / declare"
5/13/2021       попЫтка         "attempt, effort"
5/13/2021       "в том числе"   including
5/13/2021       сорвать         "disrupt, rip off"
5/13/2021       всеОбщие        "general"
5/13/2021       вЫборы          elections
5/13/2021       подвергаться    "to undergo, go through, meet with"
5/13/2021       отвЕтственность "responsibility"
5/13/2021       утверждать      "assert, approve"
5/13/2021       развЕдка        "intelligence service"
5/13/2021       подОбный        "similar, like"
5/13/2021       власти          "authorities"
5/13/2021       последовательно "consistently, successively"
5/13/2021       отрицать        "deny"
5/13/2021       обвинЕние       "accusation"
5/13/2021       причАстность    involvement
5/13/2021       достОйный       "worthy, dignified"
5/13/2021       сопЕрник        "rival"
5/13/2021       справляться     "cope, manage"
5/13/2021       отражение       "reflection (of light), refutation (of smth)"
5/13/2021       однАко          "however, but"
5/13/2021       происходИть     "to be played out, happen, go on"
5/13/2021       столь           "so (much), that (much), such"
5/13/2021       вЫнужденный     "compelled, forced"
5/13/2021       начекУ          "on the alert"
5/13/2021       лИчно           personally
5/13/2021       вскоре          soon
5/13/2021       пройзойтИ       "come up, go off, happen"       "pf"
5/13/2021       суммИровать     "to sum up, summarize"
5/13/2021       пояснЯть        "to explain"
5/13/2021       считается       "is considered"
5/13/2021       маштаб          "scale"
5/13/2021       сравнИмый       "comparable"
5/13/2021       "в результате"  "as a result"
5/13/2021       похИщено        "kidnapped"
5/13/2021       зАпись          "record"
5/13/2021       соЮзник         "ally"
5/13/2021       жЕртва          "victim"
5/13/2021       назвать         "to name, call"
5/13/2021       защитИться      "to defend (against)"
5/13/2021       устранИть       "to eliminate"
5/13/2021       угрОза          "threat"
5/13/2021       поражЕнчество   defeatism
5/13/2021       "свОдит меня с умА" "drives me crazy"
5/13/2021       сводИть         "to reduce, bring to"
5/13/2021       ум              "mind, intellect, wit"
5/13/2021       весЕда          "conversation, interview"
5/13/2021       сетовать        "lament, complain"
5/13/2021       проявлЯть       "show, exhibit"         "impf"
5/13/2021       борьбА          "fight, struggle"
